area,nb_cases
Auvergne-Rhône-Alpes,11
Bourgogne-Franche-Comté,4
Bretagne,1
Centre,0
Corse,0
Grand-Est,1
Hauts-de-France,9
Ile-de-France,9
Normandie,0
Nouvelle-Aquitaine,1
Occitanie,1
Provence-Alpes-Côte d'Azur,0
Pays de la Loire,1
France métropolitaine,38
Guadeloupe,0
Guyane,0
Martinique,0
Mayotte,0
Réunion,0
Total,38
