date,T_min,T_max,H_min,H_max
2020-03-10,283.70833333333337,289.7366666666667,70.66666666666667,90.41666666666667
2020-03-11,285.335,291.91333333333336,66.18333333333334,91.38333333333334
2020-03-12,284.04833333333335,290.2683333333334,63.86666666666667,89.88333333333334
2020-03-13,282.5033333333334,289.14833333333337,56.15,88.5
2020-03-14,282.25333333333333,289.3383333333333,62.11666666666667,88.68333333333334
2020-03-15,282.22833333333335,291.4433333333333,56.7,89.43333333333334
2020-03-16,283.6916666666666,289.87166666666667,62.63333333333333,88.63333333333334
2020-03-17,283.60999999999996,291.475,57.95,88.33333333333333
2020-03-18,282.8816666666666,292.665,56.833333333333336,90.6
2020-03-19,283.51500000000004,293.2383333333334,54.733333333333334,89.48333333333333
2020-03-20,283.5906779661017,292.114406779661,57.23728813559322,87.57627118644068
2020-03-21,283.3733333333333,289.7966666666667,63.75,88.01666666666667
2020-03-22,283.0083333333333,289.4416666666667,58.63333333333333,85.2
2020-03-23,282.33000000000004,290.15,54.3,81.86666666666666
2020-03-24,280.9633333333333,289.3916666666667,48.333333333333336,80.83333333333333
2020-03-25,279.71833333333336,288.84,45.15,77.8
2020-03-26,280.07166666666666,287.65666666666664,48.31666666666667,77.53333333333333
2020-03-27,280.445,289.73333333333335,51.81666666666667,83.76666666666667
2020-03-28,281.8366666666667,291.365,53.833333333333336,86.43333333333334
2020-03-29,282.22833333333335,288.2033333333333,54.28333333333333,82.95
2020-03-30,280.77833333333336,286.79833333333335,53.516666666666666,81.95
2020-03-31,280.6716666666667,289.2316666666667,51.45,84.26666666666667
2020-04-01,281.2,289.76,50.15,80.3
2020-04-02,281.0116666666666,289.36333333333334,52.61666666666667,84.36666666666666
2020-04-03,281.5364406779661,290.1906779661017,53.186440677966104,86.30508474576271
2020-04-04,281.3566666666666,292.9750000000001,45.13333333333333,87.25
2020-04-05,283.2083333333333,294.7116666666667,43.21666666666667,79.21666666666667
2020-04-06,284.65999999999997,292.9016666666667,49.11666666666667,81.75
2020-04-07,284.775,294.2833333333334,50.36666666666667,85.13333333333334
2020-04-08,285.1183333333334,295.3066666666666,46.766666666666666,82.31666666666666
2020-04-09,284.5166666666667,295.8683333333333,43.36666666666667,82.68333333333334
2020-04-10,285.0008474576272,295.9313559322034,42.76271186440678,79.13559322033899
2020-04-11,284.95338983050846,295.9415254237288,42.91525423728814,82.15254237288136
2020-04-12,285.2364406779661,294.7533898305084,49.101694915254235,83.91525423728814
2020-04-13,284.9872881355933,292.7262711864407,53.52542372881356,85.13559322033899
2020-04-14,283.2177966101695,292.0110169491526,45.186440677966104,81.16949152542372
2020-04-15,282.89576271186445,294.3245762711864,43.152542372881356,78.16949152542372
2020-04-16,285.3686440677966,294.8957627118644,50.52542372881356,81.42372881355932
2020-04-17,286.25338983050847,294.5415254237289,56.05084745762712,87.40677966101696
2020-04-18,286.53305084745756,294.0838983050848,60.83050847457627,91.27118644067797
2020-04-19,286.5618644067797,291.84830508474573,69.7457627118644,93.47457627118644
2020-04-20,287.28000000000003,292.245,67.91666666666667,88.71666666666667
2020-04-21,286.86694915254236,292.2889830508474,63.94915254237288,84.96610169491525
2020-04-22,286.67499999999995,293.1033333333334,60.68333333333333,84.4
2020-04-23,286.1816666666666,294.6983333333334,56.03333333333333,88.81666666666666
2020-04-24,285.9766666666667,295.05,55.766666666666666,88.91666666666667
2020-04-25,286.14661016949157,294.1635593220338,57.0,89.7457627118644
2020-04-26,285.6381355932203,293.68389830508477,56.83050847457627,90.28813559322033
2020-04-27,285.743220338983,293.0669491525424,63.932203389830505,91.59322033898304
2020-04-28,286.55,291.6066666666666,64.01666666666667,91.55
2020-04-29,285.37542372881353,291.60084745762714,59.45762711864407,89.62711864406779
2020-04-30,285.6025423728813,290.80932203389835,62.53448275862069,89.93103448275862
2020-05-01,285.5059322033899,291.38389830508476,65.13793103448276,89.13793103448276
2020-05-02,286.36355932203395,292.2059322033898,65.03389830508475,88.49152542372882
2020-05-03,286.4466101694915,293.714406779661,64.72413793103448,92.63793103448276
2020-05-04,286.96525423728815,295.2533898305084,60.10344827586207,92.72413793103448
2020-05-05,287.8816666666666,293.5283333333333,61.28813559322034,87.76271186440678
2020-05-06,286.543220338983,294.52796610169486,54.327586206896555,87.17241379310344
2020-05-07,285.84999999999997,295.82627118644075,49.310344827586206,85.27586206896552
2020-05-08,287.0516949152543,296.02966101694915,53.56896551724138,86.32758620689656
2020-05-09,288.01949152542375,295.3059322033899,60.44827586206897,87.44827586206897
2020-05-10,288.0586206896552,293.53275862068966,68.2280701754386,92.64912280701755
2020-05-11,284.51779661016946,290.51271186440675,67.3103448275862,90.39655172413794
2020-05-12,283.86999999999995,289.8116666666667,61.932203389830505,86.32203389830508
