T_min,date,T_max,H_min,H_max,extrap
284.9266666666666,2020-05-13,290.5050000000001,64.66101694915254,88.13559322033899,0.0
285.05,2020-05-14,290.9633333333333,59.40677966101695,84.84745762711864,0.0
285.30833333333334,2020-05-15,291.92,57.37288135593221,82.96610169491525,0.0
284.9566666666667,2020-05-16,293.50000000000006,53.74137931034482,86.53448275862068,0.0
285.59833333333336,2020-05-17,294.44666666666666,49.8793103448276,85.5,0.0
285.48898305084737,2020-05-18,295.51101694915263,49.43103448275862,85.44827586206897,0.0
286.0669491525424,2020-05-19,296.18220338983053,47.22413793103448,82.6206896551724,0.0
287.0262711864406,2020-05-20,297.6483050847457,49.86206896551725,82.08620689655173,0.0
288.3254385964912,2020-05-21,298.4868421052631,47.28571428571429,83.66071428571429,0.0
288.8570175438596,2020-05-22,297.130701754386,53.589285714285715,84.125,0.0
286.5745614035088,2020-05-23,293.61491228070173,58.14285714285714,85.9107142857143,0.0
285.17105263157885,2020-05-24,294.05877192982456,50.66071428571429,86.67857142857143,0.0
286.05517241379306,2020-05-25,295.8379310344826,48.05263157894736,83.35087719298245,0.0
287.05517241379306,2020-05-26,296.8327586206896,46.42857142857143,83.28571428571429,0.0
287.3362068965518,2020-05-27,297.2793103448275,45.63793103448275,78.77586206896551,0.0
287.7127118644069,2020-05-28,297.3025423728813,46.72881355932204,80.77966101694916,0.0
287.89067796610163,2020-05-29,297.04152542372884,43.254237288135606,77.33898305084746,0.0
287.1228813559321,2020-05-30,296.82627118644064,45.44827586206897,78.63793103448276,0.0
287.7161016949152,2020-05-31,296.8499999999999,46.620689655172406,77.32758620689657,0.0
287.756779661017,2020-06-01,297.1398305084747,48.51724137931034,80.4655172413793,0.0
288.0059322033899,2020-06-02,297.7296610169492,48.83050847457627,84.6949152542373,0.0
288.4110169491525,2020-06-03,296.0008474576271,57.254237288135606,86.61016949152544,0.0
287.8516949152542,2020-06-04,292.3889830508475,62.35593220338986,89.33898305084746,0.0
286.9347457627119,2020-06-05,292.3872881355931,62.254237288135606,87.32203389830508,0.0
286.94661016949163,2020-06-06,292.86694915254225,57.1551724137931,88.06896551724138,0.0
285.956779661017,2020-06-07,292.22118644067814,56.98275862068966,88.10344827586206,0.0
285.75508474576264,2020-06-08,292.9127118644067,56.57627118644068,86.79661016949154,0.0
285.69406779661006,2020-06-09,292.078813559322,58.31034482758621,87.74137931034483,0.0
286.05508474576266,2020-06-10,292.72118644067797,57.254237288135606,86.72881355932203,0.0
286.75333333333333,2020-06-11,293.3383333333333,61.6,90.01666666666668,0.0
287.5366666666667,2020-06-12,293.86333333333334,62.03333333333333,89.58333333333331,0.0
287.2933333333332,2020-06-13,294.295,59.62711864406779,90.03389830508475,0.0
287.31610169491523,2020-06-14,294.6737288135593,57.0,87.8793103448276,0.0
287.60344827586215,2020-06-15,294.41034482758624,58.53448275862069,86.51724137931032,0.0
287.7189655172414,2020-06-16,294.15172413793107,59.03448275862069,87.29310344827586,0.0
287.49067796610166,2020-06-17,293.68559322033894,61.64406779661017,89.08474576271186,0.0
287.292372881356,2020-06-18,293.75677966101705,60.20338983050848,88.28813559322033,0.0
287.39915254237286,2020-06-19,294.8398305084746,55.88135593220339,87.47457627118642,0.0
287.68559322033894,2020-06-20,295.94999999999993,54.27586206896552,86.25862068965517,0.0
288.59166666666675,2020-06-21,296.3250000000001,57.22033898305085,87.69491525423729,0.0
289.05499999999995,2020-06-22,297.08666666666664,53.26666666666666,86.2,0.0
288.38898305084734,2020-06-23,299.543220338983,46.52542372881357,84.10169491525423,0.0
290.31440677966094,2020-06-24,301.0398305084745,46.40677966101695,81.16949152542372,0.0
291.13,2020-06-25,300.74833333333333,51.4406779661017,83.91525423728814,0.0
291.2127118644069,2020-06-26,298.1703389830508,60.63793103448275,89.27586206896551,0.0
290.62413793103445,2020-06-27,297.4724137931036,60.10714285714285,90.46428571428572,0.0
290.12666666666667,2020-06-28,296.20333333333326,60.01724137931034,88.60344827586206,0.0
289.6500000000001,2020-06-29,296.02457627118645,55.41379310344828,88.3793103448276,0.0
288.95833333333326,2020-06-30,296.88166666666666,61.067796610169495,86.89830508474577,0.0
290.3333333333332,2020-07-01,296.9050000000001,64.64406779661017,91.10169491525423,0.0
290.13166666666666,2020-07-02,295.595,60.16949152542373,88.15254237288136,0.0
288.4166666666667,2020-07-03,295.5516666666666,54.35593220338986,86.94915254237291,0.0
288.81333333333333,2020-07-04,296.71333333333337,56.39655172413793,84.56896551724137,0.0
290.19067796610176,2020-07-05,297.86525423728807,57.912280701754376,85.78947368421052,0.0
289.3172413793103,2020-07-06,295.85172413793094,52.05263157894736,85.82456140350877,0.0
287.3400000000001,2020-07-07,297.1966666666668,48.322033898305094,84.45762711864407,0.0
288.3883333333333,2020-07-08,298.45499999999987,51.35593220338986,83.59322033898304,0.0
289.80166666666656,2020-07-09,299.8883333333333,49.293103448275865,85.56896551724137,0.0
290.43166666666673,2020-07-10,297.14666666666665,54.706896551724135,86.39655172413794,0.0
288.9033333333333,2020-07-11,296.87,48.48275862068966,86.82758620689656,0.0
288.15666666666675,2020-07-12,298.1450000000001,45.63793103448275,80.75862068965517,0.0
288.94166666666666,2020-07-13,298.6066666666666,43.932203389830505,80.0508474576271,0.0
289.1499999999998,2020-07-14,297.31166666666667,50.48275862068966,81.72413793103449,0.0
289.57499999999993,2020-07-15,295.25,58.42372881355932,85.4915254237288,0.0
289.45833333333337,2020-07-16,295.16,63.016949152542374,85.89830508474577,0.0
