01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,2A,2B,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,971,972,973,974,976,date,age,daily,nb_cases
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2020-03-10,66.625,8,101343
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6,0,0,0,0,0,2020-03-11,44.875,16,101359
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,2020-03-12,58.68181818181818,33,101392
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,1,0,0,0,0,2,4,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,7,6,2,0,20,0,0,0,0,0,2020-03-13,49.07377049180328,61,101453
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,6,6,1,0,18,0,0,0,0,0,2020-03-14,51.22222222222222,54,101507
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,2,14,0,0,0,0,0,2020-03-15,48.89795918367347,49,101556
4,0,0,0,0,3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,2,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,4,0,0,0,3,1,1,0,0,0,11,29,0,1,11,0,5,0,0,0,0,0,1,0,0,0,0,13,15,17,1,52,0,0,0,0,0,2020-03-16,53.05641025641026,195,101751
4,0,0,0,0,5,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,5,6,0,0,0,0,1,1,0,0,0,2,1,1,0,0,1,0,1,1,0,1,0,0,5,0,0,4,0,0,0,3,0,0,0,6,1,3,1,0,0,4,45,0,8,11,0,1,0,0,0,0,0,0,0,1,0,0,15,21,11,3,38,1,0,0,0,0,2020-03-17,51.952488687782804,221,101972
8,2,0,0,0,4,16,0,0,0,2,0,17,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,4,2,5,19,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,4,1,0,1,4,0,0,0,16,8,5,0,0,1,13,75,1,8,9,0,1,0,0,4,0,0,0,0,0,3,0,24,22,35,5,51,0,0,0,0,0,2020-03-18,51.69615384615385,390,102362
