date,T_min,T_max,H_min,H_max,pos,age_pos,test,age_test,day_num,nb_cases
2020-03-10,283.70833333333337,289.7366666666667,70.66666666666667,90.41666666666669,8,66.625,79,50.69620253164557,2,101343
2020-03-11,285.335,291.91333333333336,66.18333333333334,91.38333333333334,16,44.875,108,45.58796296296296,3,101359
2020-03-12,284.04833333333335,290.2683333333334,63.86666666666667,89.88333333333334,33,58.68181818181818,156,49.36217948717949,4,101392
2020-03-13,282.5033333333334,289.14833333333337,56.15,88.5,61,49.07377049180328,350,44.33571428571429,5,101453
2020-03-14,282.25333333333333,289.3383333333333,62.11666666666667,88.68333333333334,54,51.22222222222222,167,48.66467065868263,6,101507
2020-03-15,282.2283333333333,291.4433333333333,56.7,89.43333333333334,49,48.89795918367347,174,48.76149425287356,0,101556
2020-03-16,283.69166666666666,289.87166666666667,62.63333333333333,88.63333333333334,195,53.05641025641026,799,47.19962453066333,1,101751
2020-03-17,283.61,291.475,57.95,88.33333333333331,221,51.952488687782804,1001,47.72727272727273,2,101972
2020-03-18,282.88166666666666,292.665,56.83333333333334,90.6,390,51.69615384615385,1562,47.476952624839946,3,102362
2020-03-19,283.5150000000001,293.23833333333334,54.73333333333333,89.48333333333332,523,52.94072657743786,2085,49.83597122302158,4,102885
2020-03-20,283.5906779661017,292.114406779661,57.23728813559321,87.57627118644069,701,55.95577746077033,2443,51.80331559557921,5,103586
2020-03-21,283.37333333333333,289.7966666666667,63.75,88.01666666666668,264,50.57007575757576,783,49.50255427841635,6,103850
2020-03-22,283.0083333333333,289.44166666666666,58.63333333333333,85.2,250,52.93,555,50.873873873873876,0,104100
2020-03-23,282.3300000000001,290.15,54.3,81.86666666666666,1283,52.10444271239283,4361,50.46124742031644,1,105383
2020-03-24,280.9633333333333,289.39166666666665,48.33333333333334,80.83333333333333,1378,54.10123367198839,4934,50.748581272800976,2,106761
2020-03-25,279.71833333333336,288.84,45.15,77.8,1357,53.30729550478998,5142,50.37222870478413,3,108118
2020-03-26,280.07166666666666,287.65666666666664,48.31666666666667,77.53333333333333,1567,54.00829610721123,5659,50.80128998056194,4,109685
