T_min,date,T_max,H_min,H_max,extrap,pos,age_pos,test,age_test,day_num,nb_cases,sum_cases,Rt,rate_pos
284.9266666666666,2020-05-13,290.5050000000001,64.66101694915254,88.13559322033899,0.0,881,61.02383654937571,39034,55.42985602295435,3,141108,,,2.257006712097146
285.05,2020-05-14,290.9633333333333,59.40677966101695,84.84745762711864,0.0,979,60.42696629213483,41971,54.826499249481785,4,142087,,,2.3325629601391435
285.30833333333334,2020-05-15,291.92,57.37288135593221,82.96610169491525,0.0,1021,60.04211557296768,47665,54.38006923318997,5,143108,,,2.142032938214623
284.9566666666667,2020-05-16,293.50000000000006,53.74137931034482,86.53448275862068,0.0,291,60.15807560137457,16523,54.48847061671609,6,143399,,,1.761181383525994
285.59833333333336,2020-05-17,294.44666666666666,49.8793103448276,85.5,0.0,139,61.568345323741006,6603,58.29244282901711,0,143538,,,2.1051037407239135
285.48898305084737,2020-05-18,295.51101694915263,49.43103448275862,85.44827586206897,0.0,1116,61.64336917562724,51364,54.79818549957169,1,144654,,,2.1727279806868625
286.0669491525424,2020-05-19,296.18220338983053,47.22413793103448,82.6206896551724,0.0,1047,60.63992359121299,53003,53.81767069788503,2,145701,,,1.975359885289512
287.0262711864406,2020-05-20,297.6483050847457,49.86206896551725,82.08620689655173,0.0,1046,57.717973231357554,53022,53.33131530308174,3,146747,,,1.97276602165139
288.3254385964912,2020-05-21,298.4868421052631,47.28571428571429,83.66071428571429,0.0,195,60.05128205128205,9668,56.981899048407115,4,146942,,,2.0169631774927597
288.8570175438596,2020-05-22,297.130701754386,53.589285714285715,84.125,0.0,791,58.46396965865993,50206,54.385412102139185,5,147733,,,1.5755089033183285
286.5745614035088,2020-05-23,293.61491228070173,58.14285714285714,85.9107142857143,0.0,260,56.23461538461538,18902,54.51026346418369,6,147993,,,1.375515818431912
285.17105263157885,2020-05-24,294.05877192982456,50.66071428571429,86.67857142857143,0.0,137,51.02919708029197,7053,56.856656741811996,0,148130,,,1.942435842903729
286.05517241379306,2020-05-25,295.8379310344826,48.05263157894736,83.35087719298245,0.0,705,57.764539007092196,51108,54.59024027549503,1,148835,,,1.3794317915003522
287.05517241379306,2020-05-26,296.8327586206896,46.42857142857143,83.28571428571429,0.0,769,57.03381014304291,53577,53.65920077645258,2,149604,9377.0,,1.4353173936577264
287.3362068965518,2020-05-27,297.2793103448275,45.63793103448275,78.77586206896551,0.0,723,57.33195020746888,45925,53.460794774088185,3,150327,9219.0,,1.5743059335873708
287.7127118644069,2020-05-28,297.3025423728813,46.72881355932204,80.77966101694916,0.0,617,53.100486223662884,43770,53.19739547635367,4,150944,8857.0,,1.4096413068311628
287.89067796610163,2020-05-29,297.04152542372884,43.254237288135606,77.33898305084746,0.0,569,54.14586994727592,48771,53.44151237415677,5,151513,8405.0,,1.1666769186606796
287.1228813559321,2020-05-30,296.82627118644064,45.44827586206897,78.63793103448276,0.0,367,48.10354223433242,20099,53.393651425444055,6,151880,8481.0,,1.8259614906214239
287.7161016949152,2020-05-31,296.8499999999999,46.620689655172406,77.32758620689657,0.0,185,43.075675675675676,8318,56.922457321471505,0,152065,8527.0,,2.224092329886992
287.756779661017,2020-06-01,297.1398305084747,48.51724137931034,80.4655172413793,0.0,172,50.30813953488372,9970,57.28084252758275,1,152237,7583.0,,1.7251755265797393
288.0059322033899,2020-06-02,297.7296610169492,48.83050847457627,84.6949152542373,0.0,742,56.27628032345014,48758,54.63792608392469,2,152979,7278.0,,1.5218015505147873
288.4110169491525,2020-06-03,296.0008474576271,57.254237288135606,86.61016949152544,0.0,653,55.9249617151608,44058,54.0304144536747,3,153632,6885.0,,1.482137182804485
287.8516949152542,2020-06-04,292.3889830508475,62.35593220338986,89.33898305084746,0.0,622,54.366559485530544,41332,53.824397561211654,4,154254,7312.0,,1.5048872544275622
286.9347457627119,2020-06-05,292.3872881355931,62.254237288135606,87.32203389830508,0.0,553,53.32911392405063,46409,54.132689779999566,5,154807,7074.0,,1.1915792195479324
286.94661016949163,2020-06-06,292.86694915254225,57.1551724137931,88.06896551724138,0.0,289,51.57093425605537,19491,54.74131650505362,6,155096,7103.0,,1.4827356215689294
285.956779661017,2020-06-07,292.22118644067814,56.98275862068966,88.10344827586206,0.0,130,54.01538461538462,7512,58.78048455804047,0,155226,7096.0,,1.7305644302449414
285.75508474576264,2020-06-08,292.9127118644067,56.57627118644068,86.79661016949154,0.0,559,51.772808586762075,45105,54.92007537966966,1,155785,6950.0,,1.2393304511694934
285.69406779661006,2020-06-09,292.078813559322,58.31034482758621,87.74137931034483,0.0,576,50.19444444444444,43705,53.907493421805285,2,156361,6757.0,0.7205929401727631,1.317927010639515
286.05508474576266,2020-06-10,292.72118644067797,57.254237288135606,86.72881355932203,0.0,563,51.97690941385435,40495,53.809211013705394,3,156924,6597.0,0.7155873739017247,1.3902950981602666
286.75333333333333,2020-06-11,293.3383333333333,61.6,90.01666666666668,0.0,617,46.60453808752026,38579,53.56056403742969,4,157541,6597.0,0.7448345941063566,1.599315689883097
287.5366666666667,2020-06-12,293.86333333333334,62.03333333333333,89.58333333333331,0.0,612,46.669934640522875,44309,54.12146516509061,5,158153,6640.0,0.7900059488399762,1.3812092351441017
287.2933333333332,2020-06-13,294.295,59.62711864406779,90.03389830508475,0.0,215,47.91162790697675,19118,55.23637409770897,6,158368,6488.0,0.7650041268718312,1.1245946228685009
287.31610169491523,2020-06-14,294.6737288135593,57.0,87.8793103448276,0.0,132,50.09848484848485,6606,59.012110202845896,0,158500,6435.0,0.7546616629529729,1.9981834695731153
