date,total,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju,url
2020-10-03,24027.0,4944.0,402.0,7052.0,831.0,440.0,328.0,111.0,61.0,3843.0,198.0,140.0,424.0,89.0,134.0,1505.0,216.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710750&tag=&nPage=12
2020-10-04,24091.0,4960.0,407.0,7052.0,836.0,440.0,330.0,112.0,61.0,3857.0,198.0,141.0,424.0,89.0,134.0,1508.0,216.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710753&tag=&nPage=12
2020-10-05,24164.0,4979.0,412.0,7052.0,841.0,440.0,331.0,116.0,61.0,3882.0,198.0,141.0,426.0,91.0,134.0,1509.0,216.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710756&tag=&nPage=12
2020-10-06,24239.0,4992.0,415.0,7052.0,845.0,440.0,333.0,117.0,61.0,3916.0,198.0,141.0,426.0,100.0,134.0,1509.0,216.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710761&tag=&nPage=11
2020-10-07,24353.0,5021.0,417.0,7053.0,850.0,440.0,335.0,117.0,61.0,3965.0,198.0,141.0,426.0,106.0,134.0,1509.0,216.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710790&tag=&nPage=11
2020-10-08,24422.0,5040.0,422.0,7053.0,855.0,440.0,342.0,117.0,61.0,3987.0,198.0,141.0,426.0,106.0,134.0,1510.0,217.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710798&tag=&nPage=11
2020-10-09,24476.0,5057.0,427.0,7053.0,855.0,440.0,347.0,117.0,61.0,3996.0,198.0,142.0,426.0,106.0,135.0,1510.0,217.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710825&tag=&nPage=10
2020-10-10,24548.0,5080.0,430.0,7053.0,863.0,440.0,348.0,117.0,61.0,4020.0,198.0,142.0,427.0,106.0,136.0,1510.0,217.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710828&tag=&nPage=10
2020-10-11,24606.0,5099.0,433.0,7053.0,864.0,440.0,350.0,117.0,61.0,4038.0,200.0,142.0,428.0,106.0,136.0,1510.0,217.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710831&tag=&nPage=10
2020-10-12,24703.0,5128.0,436.0,7053.0,867.0,441.0,363.0,117.0,61.0,4054.0,201.0,142.0,428.0,107.0,136.0,1510.0,218.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710834&tag=&nPage=10
2020-10-13,24805.0,5146.0,437.0,7053.0,867.0,442.0,372.0,117.0,61.0,4086.0,205.0,143.0,430.0,108.0,136.0,1510.0,218.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710838&tag=&nPage=9
2020-10-14,24889.0,5169.0,439.0,7053.0,875.0,442.0,376.0,117.0,61.0,4101.0,205.0,143.0,431.0,108.0,136.0,1510.0,218.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710841&tag=&nPage=9
2020-10-15,24988.0,5191.0,493.0,7053.0,886.0,442.0,377.0,117.0,61.0,4107.0,206.0,143.0,431.0,108.0,136.0,1510.0,218.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710848&tag=&nPage=9
2020-10-16,25035.0,5208.0,493.0,7053.0,890.0,442.0,379.0,117.0,61.0,4122.0,206.0,143.0,432.0,110.0,136.0,1510.0,218.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710869&tag=&nPage=9
2020-10-17,25108.0,5225.0,499.0,7053.0,891.0,442.0,379.0,117.0,61.0,4154.0,209.0,143.0,434.0,110.0,136.0,1510.0,219.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710881&tag=&nPage=8
2020-10-18,25199.0,5243.0,501.0,7053.0,892.0,442.0,380.0,117.0,61.0,4202.0,210.0,143.0,434.0,110.0,136.0,1510.0,219.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710884&tag=&nPage=8
2020-10-19,25275.0,5254.0,515.0,7053.0,896.0,443.0,382.0,117.0,61.0,4217.0,211.0,143.0,436.0,110.0,136.0,1510.0,219.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710889&tag=&nPage=8
2020-10-20,25333.0,5265.0,516.0,7053.0,899.0,443.0,383.0,117.0,61.0,4239.0,213.0,143.0,437.0,110.0,136.0,1510.0,219.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710896&tag=&nPage=8
2020-10-21,25424.0,5278.0,526.0,7053.0,905.0,443.0,387.0,118.0,61.0,4260.0,213.0,143.0,437.0,110.0,136.0,1512.0,219.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710902&tag=&nPage=7
2020-10-22,25543.0,5296.0,531.0,7055.0,907.0,443.0,387.0,118.0,61.0,4322.0,215.0,143.0,448.0,112.0,136.0,1512.0,219.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710906&tag=&nPage=7
2020-10-23,25698.0,5315.0,531.0,7060.0,911.0,447.0,387.0,118.0,61.0,4420.0,216.0,143.0,452.0,114.0,137.0,1512.0,219.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710928&tag=&nPage=7
2020-10-24,25775.0,5337.0,531.0,7060.0,913.0,447.0,392.0,118.0,61.0,4452.0,216.0,143.0,457.0,114.0,137.0,1512.0,219.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710943&tag=&nPage=6
2020-10-25,25836.0,5354.0,532.0,7060.0,913.0,447.0,393.0,119.0,61.0,4479.0,216.0,143.0,459.0,114.0,137.0,1512.0,220.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710947&tag=&nPage=6
2020-10-26,25955.0,5374.0,532.0,7060.0,916.0,447.0,394.0,119.0,61.0,4544.0,216.0,144.0,460.0,114.0,137.0,1512.0,223.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710952&tag=&nPage=6
2020-10-27,26043.0,5398.0,532.0,7060.0,918.0,447.0,399.0,119.0,61.0,4571.0,222.0,145.0,460.0,114.0,139.0,1512.0,228.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710962&tag=&nPage=6
2020-10-28,26146.0,5421.0,532.0,7062.0,928.0,447.0,406.0,119.0,61.0,4599.0,236.0,145.0,461.0,117.0,139.0,1517.0,231.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710970&tag=&nPage=5
2020-10-29,26271.0,5457.0,532.0,7065.0,933.0,448.0,406.0,119.0,61.0,4651.0,243.0,145.0,462.0,118.0,139.0,1517.0,231.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710975&tag=&nPage=5
2020-10-30,26385.0,5504.0,532.0,7075.0,935.0,448.0,406.0,119.0,61.0,4674.0,249.0,145.0,465.0,119.0,140.0,1517.0,231.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=710997&tag=&nPage=4
2020-10-31,26511.0,5555.0,534.0,7084.0,938.0,448.0,406.0,120.0,64.0,4697.0,249.0,145.0,469.0,119.0,140.0,1517.0,232.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711024&tag=&nPage=4
2020-11-01,26635.0,5600.0,534.0,7086.0,938.0,448.0,406.0,120.0,64.0,4733.0,252.0,146.0,478.0,119.0,143.0,1517.0,234.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711028&tag=&nPage=4
2020-11-02,26732.0,5620.0,534.0,7089.0,940.0,448.0,406.0,120.0,64.0,4773.0,252.0,147.0,489.0,119.0,145.0,1517.0,234.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711030&tag=&nPage=4
2020-11-03,26807.0,5641.0,534.0,7089.0,940.0,450.0,406.0,120.0,64.0,4788.0,253.0,148.0,495.0,119.0,145.0,1517.0,234.0,39.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711038&tag=&nPage=3
2020-11-04,26925.0,5680.0,535.0,7090.0,944.0,450.0,407.0,120.0,64.0,4829.0,253.0,148.0,505.0,119.0,145.0,1517.0,234.0,40.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711044&tag=&nPage=3
2020-11-05,27050.0,5726.0,538.0,7092.0,947.0,450.0,407.0,120.0,64.0,4852.0,254.0,150.0,528.0,119.0,145.0,1517.0,239.0,40.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711052&tag=&nPage=3
2020-11-06,27195.0,5764.0,538.0,7092.0,947.0,450.0,407.0,120.0,64.0,4886.0,261.0,150.0,553.0,119.0,145.0,1517.0,252.0,40.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711076&tag=&nPage=3
2020-11-07,27284.0,5798.0,540.0,7093.0,948.0,450.0,408.0,120.0,64.0,4902.0,265.0,150.0,561.0,119.0,145.0,1517.0,257.0,40.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711080&tag=&nPage=2
2020-11-08,27427.0,5852.0,540.0,7100.0,950.0,452.0,409.0,120.0,64.0,4925.0,274.0,152.0,569.0,119.0,148.0,1519.0,262.0,40.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711086&tag=&nPage=2
2020-11-09,27553.0,5891.0,540.0,7106.0,951.0,452.0,409.0,120.0,64.0,4946.0,285.0,154.0,579.0,122.0,150.0,1519.0,266.0,40.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711091&tag=&nPage=2
2020-11-10,27653.0,5923.0,541.0,7107.0,954.0,456.0,409.0,120.0,64.0,4964.0,288.0,155.0,583.0,122.0,152.0,1519.0,268.0,40.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711098&tag=&nPage=1
2020-11-11,27799.0,5962.0,544.0,7107.0,954.0,458.0,410.0,120.0,64.0,5006.0,296.0,156.0,589.0,123.0,152.0,1519.0,278.0,40.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711104&tag=&nPage=1
2020-11-12,27942.0,6014.0,546.0,7109.0,956.0,464.0,412.0,120.0,64.0,5040.0,302.0,156.0,598.0,123.0,160.0,1520.0,281.0,41.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711113&tag=&nPage=1
2020-11-13,28133.0,6088.0,546.0,7110.0,959.0,469.0,412.0,120.0,65.0,5076.0,325.0,156.0,605.0,123.0,169.0,1520.0,283.0,42.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711130&tag=&nPage=1
2020-11-14,28338.0,6151.0,547.0,7110.0,959.0,476.0,414.0,120.0,66.0,5122.0,343.0,156.0,616.0,124.0,182.0,1520.0,286.0,42.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711148&tag=&nPage=1
2020-11-15,28546.0,6232.0,547.0,7110.0,961.0,483.0,414.0,120.0,66.0,5163.0,362.0,164.0,621.0,124.0,190.0,1522.0,289.0,42.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711152&tag=&nPage=1
2020-11-16,28769.0,6311.0,547.0,7110.0,971.0,487.0,416.0,120.0,67.0,5202.0,382.0,167.0,627.0,125.0,200.0,1535.0,293.0,43.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711157&tag=&nPage=2
2020-11-17,29040.0,6399.0,549.0,7112.0,981.0,500.0,417.0,120.0,67.0,5261.0,391.0,167.0,634.0,125.0,215.0,1542.0,299.0,43.0,
2020-11-18,29311.0,6488.0,552.0,7114.0,992.0,514.0,418.0,120.0,67.0,5321.0,400.0,167.0,642.0,125.0,231.0,1550.0,305.0,43.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711174&tag=&nPage=2
2020-11-19,29654.0,6595.0,557.0,7116.0,1003.0,522.0,419.0,120.0,67.0,5380.0,420.0,170.0,655.0,126.0,258.0,1558.0,333.0,43.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711185&tag=&nPage=3
2020-11-20,30017.0,6722.0,559.0,7117.0,1032.0,526.0,419.0,120.0,67.0,5442.0,444.0,172.0,670.0,139.0,272.0,1565.0,351.0,45.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711203&tag=&nPage=3
2020-11-21,30403.0,6876.0,566.0,7117.0,1054.0,532.0,420.0,121.0,67.0,5528.0,458.0,173.0,689.0,152.0,290.0,1573.0,362.0,45.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711219&tag=&nPage=3
2020-11-22,30733.0,6995.0,567.0,7117.0,1080.0,540.0,420.0,122.0,67.0,5602.0,470.0,173.0,700.0,164.0,303.0,1579.0,381.0,45.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711222&tag=&nPage=3
2020-11-23,31004.0,7104.0,571.0,7118.0,1103.0,541.0,422.0,123.0,67.0,5676.0,481.0,173.0,708.0,173.0,308.0,1583.0,383.0,46.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711226&tag=&nPage=2
2020-11-24,31353.0,7236.0,577.0,7120.0,1119.0,544.0,422.0,124.0,69.0,5745.0,526.0,176.0,715.0,187.0,315.0,1592.0,386.0,47.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711231&tag=&nPage=2
2020-11-25,31735.0,7375.0,595.0,7125.0,1158.0,558.0,426.0,127.0,69.0,5822.0,538.0,179.0,733.0,195.0,323.0,1594.0,396.0,50.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711238&tag=&nPage=2
2020-11-26,32311.0,7580.0,616.0,7125.0,1177.0,571.0,429.0,133.0,72.0,5966.0,546.0,192.0,756.0,215.0,332.0,1596.0,437.0,52.0,
2020-11-27,32887.0,7785.0,638.0,7126.0,1196.0,585.0,432.0,140.0,76.0,6111.0,554.0,206.0,780.0,235.0,342.0,1599.0,479.0,55.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711262&tag=&nPage=1
2020-11-28,33355.0,7949.0,662.0,7127.0,1219.0,595.0,441.0,141.0,77.0,6216.0,580.0,227.0,793.0,248.0,355.0,1606.0,493.0,56.0,
2020-11-29,33824.0,8114.0,686.0,7128.0,1242.0,605.0,451.0,143.0,79.0,6321.0,606.0,248.0,806.0,261.0,369.0,1614.0,507.0,57.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711281&tag=&nPage=1
2020-11-30,34201.0,8272.0,738.0,7132.0,1276.0,617.0,456.0,146.0,80.0,6390.0,614.0,270.0,810.0,277.0,372.0,1618.0,526.0,57.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711286&tag=&nPage=4
2020-12-01,34652.0,8425.0,769.0,7143.0,1292.0,639.0,466.0,148.0,82.0,6476.0,623.0,301.0,826.0,286.0,374.0,1628.0,536.0,57.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711291&tag=&nPage=4
2020-12-02,35163.0,8617.0,800.0,7147.0,1313.0,649.0,471.0,154.0,89.0,6619.0,635.0,317.0,832.0,312.0,375.0,1632.0,543.0,59.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711298&tag=&nPage=4
2020-12-03,35703.0,8877.0,815.0,7150.0,1335.0,652.0,478.0,156.0,93.0,6756.0,643.0,326.0,845.0,319.0,377.0,1642.0,556.0,60.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711309&tag=&nPage=3
2020-12-04,36332.0,9168.0,846.0,7156.0,1352.0,653.0,499.0,161.0,93.0,6911.0,646.0,331.0,867.0,332.0,380.0,1651.0,572.0,62.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711333&tag=&nPage=3
2020-12-05,36915.0,9399.0,875.0,7163.0,1371.0,659.0,509.0,162.0,97.0,7061.0,655.0,349.0,877.0,349.0,384.0,1667.0,599.0,63.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711343&tag=&nPage=3
2020-12-06,37546.0,9652.0,909.0,7166.0,1412.0,662.0,512.0,165.0,99.0,7237.0,666.0,362.0,891.0,360.0,392.0,1676.0,614.0,63.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711350&tag=&nPage=2
2020-12-07,38161.0,9883.0,942.0,7171.0,1449.0,665.0,514.0,203.0,99.0,7391.0,675.0,373.0,901.0,381.0,394.0,1685.0,629.0,63.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711355&tag=&nPage=2
2020-12-08,38755.0,10095.0,967.0,7174.0,1476.0,675.0,524.0,264.0,99.0,7536.0,683.0,383.0,916.0,394.0,401.0,1690.0,641.0,65.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711370&tag=&nPage=2
2020-12-09,39432.0,10360.0,987.0,7177.0,1522.0,684.0,534.0,278.0,100.0,7748.0,687.0,405.0,920.0,406.0,403.0,1693.0,672.0,67.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711380&tag=&nPage=1
2020-12-10,40098.0,10603.0,1017.0,7179.0,1559.0,687.0,543.0,295.0,101.0,7949.0,702.0,415.0,940.0,414.0,408.0,1701.0,686.0,74.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711391&tag=&nPage=1
2020-12-11,40786.0,10852.0,1043.0,7185.0,1595.0,690.0,551.0,341.0,101.0,8175.0,713.0,436.0,949.0,421.0,412.0,1703.0,698.0,79.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711420&tag=&nPage=1
2020-12-12,41736.0,11211.0,1101.0,7220.0,1637.0,699.0,569.0,364.0,102.0,8443.0,749.0,457.0,958.0,426.0,420.0,1722.0,715.0,79.0,http://www.kdca.go.kr//board/board.es?mid=a20501000000&bid=0015&act=view&list_no=711448&tag=&nPage=1
